CUST_ID,SITE_ID
627359797,MLM
629268229,MLB
686188896,MLA
140010039,MLB
78932112,MLM
44994779,MLA
169151542,MLM
177463276,MLM
179239039,MLM
637723804,MLB
749984556,MLM
726288421,MLM
672724950,MCO
571062435,MLA
474438565,MLB
473608939,MLB
472000332,MLB
470991887,MLB
703995869,MLM
288418075,MLB
114192595,MLB
60487590,MLM
92930323,MLM
256706269,MLM
185876509,MLC
6897987,MLM
783803356,MLB
193776653,MLB
194043798,MLB
212321521,MLB
805585173,MLB
203140600,MLB
547494277,MLM
543337229,MLM
547054356,MLB
547079490,MLB
330915463,MLM
91787027,MLB
94090820,MLA
523135118,MLB
522425090,MLB
528378942,MLA
180999065,MLB
1141069987,MLB
50162908,MLB
15263963,MLB
14835627,MLB
39936178,MLB
36542497,MLB
607179325,MLB
316151133,MLB
506394679,MLB
1111356018,MLM
89319947,MLB
87813570,MLB
463225254,MLB
346497166,MLB
348554138,MLA
2479655,MLA
476411,MLA
10414722,MLA
512687555,MCO
704320902,MLB
705651923,MLB
1089878189,MLM
299006067,MLA
535408944,MLM
538840586,MLM
532690366,MLM
666938797,MLA
97523821,MLM
99304620,MLM
599625201,MLB
242743984,MLB
242590791,MLB
580117278,MLA
678677021,MLB
665222843,MLM
667752026,MLB
202034126,MLC
421965049,MLM
145196667,MCO
540827616,MLB
710597254,MLM
384730269,MLB
1049715029,MLB
40129192,MLM
1059399493,MLM
452424017,MLB
414544251,MLC
21460318,MLM
392780944,MLM
232042087,MLB
274102045,MLM
277448674,MLB
694335916,MLB
566309810,MLM
1105198442,MLM
319410279,MLM
437331752,MLM
438562916,MLM
645142295,MLB
358936681,MLB
560292234,MLB
565806598,MLA
491447675,MLB
185175012,MLB
184090568,MLB
182623249,MLB
411463792,MLB
459730191,MLM
457753557,MLB
80673389,MLB
80540265,MCO
177062377,MLB
226089917,MLB
153778957,MLB
617456581,MLM
616256328,MLM
619040193,MLB
269787094,MLM
150974539,MLB
158672143,MLA
122305460,MLM
587578230,MLM
585564820,MLC
581464238,MLM
62988267,MLB
114297221,MLM
111595832,MLM
163129478,MLB
21108438,MLB
74191107,MLB
70764828,MLB
274384692,MLB
236831058,MLB
54834730,MLB
51021447,MLB
216787182,MLM
212687556,MLM
198535270,MLM
135230845,MLC
137277391,MLB
444423954,MLM
446906542,MLM
628758304,MLB
140714356,MLB
72074971,MLM
47526653,MCO
165614678,MLM
160742360,MLM
173579205,MLM
636489990,MLM
746669254,MLM
740424967,MLM
159810079,MLM
153901257,MLM
572009844,MLB
474140345,MLA
706610088,MLM
706336915,MLB
284723109,MLM
574385317,MLM
98067124,MLB
97060359,MLB
170706388,MLB
257304289,MLM
184551144,MLM
189310203,MLB
4388558,MLB
194074854,MLB
190971283,MLB
801048640,MLM
123329971,MLB
128332145,MLA
200298510,MLB
547678030,MLB
547581172,MLB
333110234,MLM
339658894,MLB
242352722,MLM
99094134,MLA
529258005,MLB
527922605,MLB
521397787,MLB
764713171,MLM
